,year,community_board,metric,value
105,2016,Bronx Community Board 1,Housing Units,34688.76
106,2017,Bronx Community Board 1,Housing Units,35227.87
107,2018,Bronx Community Board 1,Housing Units,35775.363
108,2019,Bronx Community Board 1,Housing Units,36331.36
109,2020,Bronx Community Board 1,Housing Units,36896.0
110,2021,Bronx Community Board 1,Housing Units,37469.414
111,2022,Bronx Community Board 1,Housing Units,38051.742
112,2023,Bronx Community Board 1,Housing Units,38643.117
113,2024,Bronx Community Board 1,Housing Units,39243.684
114,2006,Bronx Community Board 1,Occupied Housing,27917.26
115,2007,Bronx Community Board 1,Occupied Housing,28400.266
116,2008,Bronx Community Board 1,Occupied Housing,28891.627
117,2009,Bronx Community Board 1,Occupied Housing,29391.488
118,2010,Bronx Community Board 1,Occupied Housing,29900.0
119,2011,Bronx Community Board 1,Occupied Housing,30417.309
120,2012,Bronx Community Board 1,Occupied Housing,30943.568
121,2013,Bronx Community Board 1,Occupied Housing,31478.932
122,2014,Bronx Community Board 1,Occupied Housing,32023.559
123,2015,Bronx Community Board 1,Occupied Housing,32577.607
124,2016,Bronx Community Board 1,Occupied Housing,33141.242
125,2017,Bronx Community Board 1,Occupied Housing,33714.63
126,2018,Bronx Community Board 1,Occupied Housing,34297.938
127,2019,Bronx Community Board 1,Occupied Housing,34891.336
128,2020,Bronx Community Board 1,Occupied Housing,35495.0
129,2021,Bronx Community Board 1,Occupied Housing,36109.11
130,2022,Bronx Community Board 1,Occupied Housing,36733.844
131,2023,Bronx Community Board 1,Occupied Housing,37369.387
132,2024,Bronx Community Board 1,Occupied Housing,38015.926
133,2006,Bronx Community Board 1,Other Population,294.7047
134,2007,Bronx Community Board 1,Other Population,320.06357
135,2008,Bronx Community Board 1,Other Population,347.60455
136,2009,Bronx Community Board 1,Other Population,377.51538
137,2010,Bronx Community Board 1,Other Population,410.0
138,2011,Bronx Community Board 1,Other Population,445.27988
139,2012,Bronx Community Board 1,Other Population,483.5955
140,2013,Bronx Community Board 1,Other Population,525.2081
141,2014,Bronx Community Board 1,Other Population,570.4015
142,2015,Bronx Community Board 1,Other Population,619.48364
143,2016,Bronx Community Board 1,Other Population,672.78925
144,2017,Bronx Community Board 1,Other Population,730.68176
145,2018,Bronx Community Board 1,Other Population,793.5558
146,2019,Bronx Community Board 1,Other Population,861.84
147,2020,Bronx Community Board 1,Other Population,936.0
148,2021,Bronx Community Board 1,Other Population,1016.5413
149,2022,Bronx Community Board 1,Other Population,1104.0132
150,2023,Bronx Community Board 1,Other Population,1199.0117
151,2024,Bronx Community Board 1,Other Population,1302.1848
152,2006,Bronx Community Board 1,Population,87975.8
153,2007,Bronx Community Board 1,Population,88843.19
154,2008,Bronx Community Board 1,Population,89719.125
155,2009,Bronx Community Board 1,Population,90603.7
156,2010,Bronx Community Board 1,Population,91497.0
157,2011,Bronx Community Board 1,Population,92399.1
158,2012,Bronx Community Board 1,Population,93310.1
159,2013,Bronx Community Board 1,Population,94230.086
160,2014,Bronx Community Board 1,Population,95159.14
161,2015,Bronx Community Board 1,Population,96097.35
162,2016,Bronx Community Board 1,Population,97044.81
163,2017,Bronx Community Board 1,Population,98001.62
164,2018,Bronx Community Board 1,Population,98967.85
165,2019,Bronx Community Board 1,Population,99943.62
166,2020,Bronx Community Board 1,Population,100929.0
167,2021,Bronx Community Board 1,Population,101924.1
168,2022,Bronx Community Board 1,Population,102929.01
169,2023,Bronx Community Board 1,Population,103943.83
170,2024,Bronx Community Board 1,Population,104968.65
171,2006,Bronx Community Board 1,Under 18 Population,28183.217
172,2007,Bronx Community Board 1,Under 18 Population,28113.152
173,2008,Bronx Community Board 1,Under 18 Population,28043.262
174,2009,Bronx Community Board 1,Under 18 Population,27973.543
175,2010,Bronx Community Board 1,Under 18 Population,27904.0
176,2011,Bronx Community Board 1,Under 18 Population,27834.629
177,2012,Bronx Community Board 1,Under 18 Population,27765.43
178,2013,Bronx Community Board 1,Under 18 Population,27696.404
179,2014,Bronx Community Board 1,Under 18 Population,27627.549
180,2015,Bronx Community Board 1,Under 18 Population,27558.865
181,2016,Bronx Community Board 1,Under 18 Population,27490.354
182,2017,Bronx Community Board 1,Under 18 Population,27422.01
183,2018,Bronx Community Board 1,Under 18 Population,27353.838
184,2019,Bronx Community Board 1,Under 18 Population,27285.834
185,2020,Bronx Community Board 1,Under 18 Population,27218.0
186,2021,Bronx Community Board 1,Under 18 Population,27150.334
187,2022,Bronx Community Board 1,Under 18 Population,27082.838
188,2023,Bronx Community Board 1,Under 18 Population,27015.508
189,2024,Bronx Community Board 1,Under 18 Population,26948.346
190,2006,Bronx Community Board 1,White Population,1131.3452
191,2007,Bronx Community Board 1,White Population,1199.1636
192,2008,Bronx Community Board 1,White Population,1271.0472
193,2009,Bronx Community Board 1,White Population,1347.2399
194,2010,Bronx Community Board 1,White Population,1428.0
195,2011,Bronx Community Board 1,White Population,1513.6012
196,2012,Bronx Community Board 1,White Population,1604.3339
197,2013,Bronx Community Board 1,White Population,1700.5054
198,2014,Bronx Community Board 1,White Population,1802.4419
199,2015,Bronx Community Board 1,White Population,1910.4889
200,2016,Bronx Community Board 1,White Population,2025.013
201,2017,Bronx Community Board 1,White Population,2146.4019
202,2018,Bronx Community Board 1,White Population,2275.0676
203,2019,Bronx Community Board 1,White Population,2411.4463
204,2020,Bronx Community Board 1,White Population,2556.0
205,2021,Bronx Community Board 1,White Population,2709.219
206,2022,Bronx Community Board 1,White Population,2871.6228
207,2023,Bronx Community Board 1,White Population,3043.7617
208,2024,Bronx Community Board 1,White Population,3226.2195
209,2006,Bronx Community Board 10,Asian Population,4484.97
210,2007,Bronx Community Board 10,Asian Population,4719.012
211,2008,Bronx Community Board 10,Asian Population,4965.2676
212,2009,Bronx Community Board 10,Asian Population,5224.373
213,2010,Bronx Community Board 10,Asian Population,5497.0
214,2011,Bronx Community Board 10,Asian Population,5783.8535
215,2012,Bronx Community Board 10,Asian Population,6085.6763
216,2013,Bronx Community Board 10,Asian Population,6403.249
217,2014,Bronx Community Board 10,Asian Population,6737.3936
218,2015,Bronx Community Board 10,Asian Population,7088.9756
219,2016,Bronx Community Board 10,Asian Population,7458.9043
220,2017,Bronx Community Board 10,Asian Population,7848.1367
221,2018,Bronx Community Board 10,Asian Population,8257.682
222,2019,Bronx Community Board 10,Asian Population,8688.598
223,2020,Bronx Community Board 10,Asian Population,9142.0
224,2021,Bronx Community Board 10,Asian Population,9619.0625
225,2022,Bronx Community Board 10,Asian Population,10121.0205
226,2023,Bronx Community Board 10,Asian Population,10649.173
227,2024,Bronx Community Board 10,Asian Population,11204.885
228,2006,Bronx Community Board 10,Average Household Size,2.3249326
229,2007,Bronx Community Board 10,Average Household Size,2.3336504
230,2008,Bronx Community Board 10,Average Household Size,2.3424008
231,2009,Bronx Community Board 10,Average Household Size,2.351184
232,2010,Bronx Community Board 10,Average Household Size,2.36
233,2011,Bronx Community Board 10,Average Household Size,2.3688493
234,2012,Bronx Community Board 10,Average Household Size,2.3777316
235,2013,Bronx Community Board 10,Average Household Size,2.3866472
236,2014,Bronx Community Board 10,Average Household Size,2.3955963
237,2015,Bronx Community Board 10,Average Household Size,2.404579
238,2016,Bronx Community Board 10,Average Household Size,2.4135952
239,2017,Bronx Community Board 10,Average Household Size,2.4226453
240,2018,Bronx Community Board 10,Average Household Size,2.4317296
241,2019,Bronx Community Board 10,Average Household Size,2.4408476
242,2020,Bronx Community Board 10,Average Household Size,2.45
243,2021,Bronx Community Board 10,Average Household Size,2.4591866
244,2022,Bronx Community Board 10,Average Household Size,2.4684076
245,2023,Bronx Community Board 10,Average Household Size,2.4776635
246,2024,Bronx Community Board 10,Average Household Size,2.4869537
247,2006,Bronx Community Board 10,Black Population,25099.576
248,2007,Bronx Community Board 10,Black Population,25493.559
249,2008,Bronx Community Board 10,Black Population,25893.725
250,2009,Bronx Community Board 10,Black Population,26300.172
251,2010,Bronx Community Board 10,Black Population,26713.0
252,2011,Bronx Community Board 10,Black Population,27132.307
253,2012,Bronx Community Board 10,Black Population,27558.197
254,2013,Bronx Community Board 10,Black Population,27990.771
255,2014,Bronx Community Board 10,Black Population,28430.137
256,2015,Bronx Community Board 10,Black Population,28876.396
257,2016,Bronx Community Board 10,Black Population,29329.662
258,2017,Bronx Community Board 10,Black Population,29790.043
259,2018,Bronx Community Board 10,Black Population,30257.65
260,2019,Bronx Community Board 10,Black Population,30732.598
261,2020,Bronx Community Board 10,Black Population,31215.0
262,2021,Bronx Community Board 10,Black Population,31704.975
263,2022,Bronx Community Board 10,Black Population,32202.64
264,2023,Bronx Community Board 10,Black Population,32708.117
265,2024,Bronx Community Board 10,Black Population,33221.527
266,2006,Bronx Community Board 10,Hispanic Population,40710.76
267,2007,Bronx Community Board 10,Hispanic Population,41524.59
268,2008,Bronx Community Board 10,Hispanic Population,42354.688
269,2009,Bronx Community Board 10,Hispanic Population,43201.383
270,2010,Bronx Community Board 10,Hispanic Population,44065.0
271,2011,Bronx Community Board 10,Hispanic Population,44945.883
272,2012,Bronx Community Board 10,Hispanic Population,45844.375
273,2013,Bronx Community Board 10,Hispanic Population,46760.83
274,2014,Bronx Community Board 10,Hispanic Population,47695.6
275,2015,Bronx Community Board 10,Hispanic Population,48649.062
276,2016,Bronx Community Board 10,Hispanic Population,49621.582
277,2017,Bronx Community Board 10,Hispanic Population,50613.543
278,2018,Bronx Community Board 10,Hispanic Population,51625.336
279,2019,Bronx Community Board 10,Hispanic Population,52657.35
280,2020,Bronx Community Board 10,Hispanic Population,53710.0
281,2021,Bronx Community Board 10,Hispanic Population,54783.69
282,2022,Bronx Community Board 10,Hispanic Population,55878.848
283,2023,Bronx Community Board 10,Hispanic Population,56995.895
284,2024,Bronx Community Board 10,Hispanic Population,58135.27
285,2006,Bronx Community Board 10,Household Population,113937.41
286,2007,Bronx Community Board 10,Household Population,114861.984
287,2008,Bronx Community Board 10,Household Population,115794.08
288,2009,Bronx Community Board 10,Household Population,116733.73
289,2010,Bronx Community Board 10,Household Population,117681.0
290,2011,Bronx Community Board 10,Household Population,118635.96
291,2012,Bronx Community Board 10,Household Population,119598.67
292,2013,Bronx Community Board 10,Household Population,120569.195
293,2014,Bronx Community Board 10,Household Population,121547.6
294,2015,Bronx Community Board 10,Household Population,122533.94
295,2016,Bronx Community Board 10,Household Population,123528.28
296,2017,Bronx Community Board 10,Household Population,124530.695
297,2018,Bronx Community Board 10,Household Population,125541.24
298,2019,Bronx Community Board 10,Household Population,126559.984
299,2020,Bronx Community Board 10,Household Population,127587.0
300,2021,Bronx Community Board 10,Household Population,128622.35
301,2022,Bronx Community Board 10,Household Population,129666.1
302,2023,Bronx Community Board 10,Household Population,130718.32
303,2024,Bronx Community Board 10,Household Population,131779.08
304,2006,Bronx Community Board 10,Housing Units,51645.777
305,2007,Bronx Community Board 10,Housing Units,51860.74
306,2008,Bronx Community Board 10,Housing Units,52076.594
307,2009,Bronx Community Board 10,Housing Units,52293.344
308,2010,Bronx Community Board 10,Housing Units,52511.0
309,2011,Bronx Community Board 10,Housing Units,52729.562
310,2012,Bronx Community Board 10,Housing Units,52949.03
311,2013,Bronx Community Board 10,Housing Units,53169.414
312,2014,Bronx Community Board 10,Housing Units,53390.715
313,2015,Bronx Community Board 10,Housing Units,53612.938
314,2016,Bronx Community Board 10,Housing Units,53836.086
315,2017,Bronx Community Board 10,Housing Units,54060.16
316,2018,Bronx Community Board 10,Housing Units,54285.168
317,2019,Bronx Community Board 10,Housing Units,54511.113
318,2020,Bronx Community Board 10,Housing Units,54738.0
319,2021,Bronx Community Board 10,Housing Units,54965.83
320,2022,Bronx Community Board 10,Housing Units,55194.61
321,2023,Bronx Community Board 10,Housing Units,55424.34
322,2024,Bronx Community Board 10,Housing Units,55655.023
323,2006,Bronx Community Board 10,Occupied Housing,48910.285
324,2007,Bronx Community Board 10,Occupied Housing,49136.145
325,2008,Bronx Community Board 10,Occupied Housing,49363.047
326,2009,Bronx Community Board 10,Occupied Housing,49590.996
327,2010,Bronx Community Board 10,Occupied Housing,49820.0
328,2011,Bronx Community Board 10,Occupied Housing,50050.06
329,2012,Bronx Community Board 10,Occupied Housing,50281.184
330,2013,Bronx Community Board 10,Occupied Housing,50513.37
331,2014,Bronx Community Board 10,Occupied Housing,50746.633
332,2015,Bronx Community Board 10,Occupied Housing,50980.973
333,2016,Bronx Community Board 10,Occupied Housing,51216.395
334,2017,Bronx Community Board 10,Occupied Housing,51452.902
335,2018,Bronx Community Board 10,Occupied Housing,51690.504
336,2019,Bronx Community Board 10,Occupied Housing,51929.2
337,2020,Bronx Community Board 10,Occupied Housing,52169.0
338,2021,Bronx Community Board 10,Occupied Housing,52409.906
339,2022,Bronx Community Board 10,Occupied Housing,52651.926
340,2023,Bronx Community Board 10,Occupied Housing,52895.062
341,2024,Bronx Community Board 10,Occupied Housing,53139.324
342,2006,Bronx Community Board 10,Other Population,850.8683
343,2007,Bronx Community Board 10,Other Population,892.2788
344,2008,Bronx Community Board 10,Other Population,935.7048
345,2009,Bronx Community Board 10,Other Population,981.2442
346,2010,Bronx Community Board 10,Other Population,1029.0
347,2011,Bronx Community Board 10,Other Population,1079.08
348,2012,Bronx Community Board 10,Other Population,1131.5973
349,2013,Bronx Community Board 10,Other Population,1186.6705
350,2014,Bronx Community Board 10,Other Population,1244.4241
351,2015,Bronx Community Board 10,Other Population,1304.9885
352,2016,Bronx Community Board 10,Other Population,1368.5005
353,2017,Bronx Community Board 10,Other Population,1435.1035
354,2018,Bronx Community Board 10,Other Population,1504.9479
355,2019,Bronx Community Board 10,Other Population,1578.1917
356,2020,Bronx Community Board 10,Other Population,1655.0
357,2021,Bronx Community Board 10,Other Population,1735.5465
358,2022,Bronx Community Board 10,Other Population,1820.0132
359,2023,Bronx Community Board 10,Other Population,1908.5906
360,2024,Bronx Community Board 10,Other Population,2001.479
361,2006,Bronx Community Board 10,Population,116477.69
362,2007,Bronx Community Board 10,Population,117444.164
363,2008,Bronx Community Board 10,Population,118418.67
364,2009,Bronx Community Board 10,Population,119401.26
365,2010,Bronx Community Board 10,Population,120392.0
366,2011,Bronx Community Board 10,Population,121390.96
367,2012,Bronx Community Board 10,Population,122398.21
368,2013,Bronx Community Board 10,Population,123413.82
369,2014,Bronx Community Board 10,Population,124437.86
370,2015,Bronx Community Board 10,Population,125470.39
371,2016,Bronx Community Board 10,Population,126511.49
372,2017,Bronx Community Board 10,Population,127561.234
373,2018,Bronx Community Board 10,Population,128619.68
374,2019,Bronx Community Board 10,Population,129686.914
375,2020,Bronx Community Board 10,Population,130763.0
376,2021,Bronx Community Board 10,Population,131848.02
377,2022,Bronx Community Board 10,Population,132942.03
378,2023,Bronx Community Board 10,Population,134045.14
379,2024,Bronx Community Board 10,Population,135157.39
380,2006,Bronx Community Board 10,Under 18 Population,24007.576
381,2007,Bronx Community Board 10,Under 18 Population,24068.451
382,2008,Bronx Community Board 10,Under 18 Population,24129.479
383,2009,Bronx Community Board 10,Under 18 Population,24190.662
384,2010,Bronx Community Board 10,Under 18 Population,24252.0
385,2011,Bronx Community Board 10,Under 18 Population,24313.494
386,2012,Bronx Community Board 10,Under 18 Population,24375.143
387,2013,Bronx Community Board 10,Under 18 Population,24436.95
388,2014,Bronx Community Board 10,Under 18 Population,24498.912
389,2015,Bronx Community Board 10,Under 18 Population,24561.031
390,2016,Bronx Community Board 10,Under 18 Population,24623.309
391,2017,Bronx Community Board 10,Under 18 Population,24685.744
392,2018,Bronx Community Board 10,Under 18 Population,24748.336
393,2019,Bronx Community Board 10,Under 18 Population,24811.088
394,2020,Bronx Community Board 10,Under 18 Population,24874.0
395,2021,Bronx Community Board 10,Under 18 Population,24937.07
396,2022,Bronx Community Board 10,Under 18 Population,25000.3
397,2023,Bronx Community Board 10,Under 18 Population,25063.691
398,2024,Bronx Community Board 10,Under 18 Population,25127.244
399,2006,Bronx Community Board 10,White Population,45972.203
400,2007,Bronx Community Board 10,White Population,44825.453
401,2008,Bronx Community Board 10,White Population,43707.31
402,2009,Bronx Community Board 10,White Population,42617.06
403,2010,Bronx Community Board 10,White Population,41554.0
404,2011,Bronx Community Board 10,White Population,40517.46
405,2012,Bronx Community Board 10,White Population,39506.777
406,2013,Bronx Community Board 10,White Population,38521.305
407,2014,Bronx Community Board 10,White Population,37560.41
408,2015,Bronx Community Board 10,White Population,36623.49
409,2016,Bronx Community Board 10,White Population,35709.938
410,2017,Bronx Community Board 10,White Population,34819.176
411,2018,Bronx Community Board 10,White Population,33950.633
412,2019,Bronx Community Board 10,White Population,33103.754
413,2020,Bronx Community Board 10,White Population,32278.0
414,2021,Bronx Community Board 10,White Population,31472.844
415,2022,Bronx Community Board 10,White Population,30687.773
416,2023,Bronx Community Board 10,White Population,29922.285
417,2024,Bronx Community Board 10,White Population,29175.89
418,2006,Bronx Community Board 11,Asian Population,7840.1543
419,2007,Bronx Community Board 11,Asian Population,8040.087
420,2008,Bronx Community Board 11,Asian Population,8245.118
421,2009,Bronx Community Board 11,Asian Population,8455.378
422,2010,Bronx Community Board 11,Asian Population,8671.0
423,2011,Bronx Community Board 11,Asian Population,8892.12
424,2012,Bronx Community Board 11,Asian Population,9118.88
425,2013,Bronx Community Board 11,Asian Population,9351.421
426,2014,Bronx Community Board 11,Asian Population,9589.894
427,2015,Bronx Community Board 11,Asian Population,9834.446
428,2016,Bronx Community Board 11,Asian Population,10085.236
429,2017,Bronx Community Board 11,Asian Population,10342.421
430,2018,Bronx Community Board 11,Asian Population,10606.164
431,2019,Bronx Community Board 11,Asian Population,10876.634
432,2020,Bronx Community Board 11,Asian Population,11154.0
433,2021,Bronx Community Board 11,Asian Population,11438.439
434,2022,Bronx Community Board 11,Asian Population,11730.133
435,2023,Bronx Community Board 11,Asian Population,12029.265
436,2024,Bronx Community Board 11,Asian Population,12336.024
437,2006,Bronx Community Board 11,Average Household Size,2.612509
438,2007,Bronx Community Board 11,Average Household Size,2.6193547
439,2008,Bronx Community Board 11,Average Household Size,2.6262186
440,2009,Bronx Community Board 11,Average Household Size,2.6331003
441,2010,Bronx Community Board 11,Average Household Size,2.64
442,2011,Bronx Community Board 11,Average Household Size,2.6469178
443,2012,Bronx Community Board 11,Average Household Size,2.653854
444,2013,Bronx Community Board 11,Average Household Size,2.660808
445,2014,Bronx Community Board 11,Average Household Size,2.6677804
446,2015,Bronx Community Board 11,Average Household Size,2.674771
447,2016,Bronx Community Board 11,Average Household Size,2.68178
448,2017,Bronx Community Board 11,Average Household Size,2.6888072
449,2018,Bronx Community Board 11,Average Household Size,2.695853
450,2019,Bronx Community Board 11,Average Household Size,2.7029173
451,2020,Bronx Community Board 11,Average Household Size,2.71
452,2021,Bronx Community Board 11,Average Household Size,2.7171013
453,2022,Bronx Community Board 11,Average Household Size,2.7242212
454,2023,Bronx Community Board 11,Average Household Size,2.7313597
455,2024,Bronx Community Board 11,Average Household Size,2.738517
456,2006,Bronx Community Board 11,Black Population,22750.701
457,2007,Bronx Community Board 11,Black Population,22808.059
458,2008,Bronx Community Board 11,Black Population,22865.56
459,2009,Bronx Community Board 11,Black Population,22923.207
460,2010,Bronx Community Board 11,Black Population,22981.0
461,2011,Bronx Community Board 11,Black Population,23038.938
462,2012,Bronx Community Board 11,Black Population,23097.023
463,2013,Bronx Community Board 11,Black Population,23155.254
464,2014,Bronx Community Board 11,Black Population,23213.63
465,2015,Bronx Community Board 11,Black Population,23272.156
466,2016,Bronx Community Board 11,Black Population,23330.828
467,2017,Bronx Community Board 11,Black Population,23389.648
468,2018,Bronx Community Board 11,Black Population,23448.617
469,2019,Bronx Community Board 11,Black Population,23507.734
470,2020,Bronx Community Board 11,Black Population,23567.0
471,2021,Bronx Community Board 11,Black Population,23626.416
472,2022,Bronx Community Board 11,Black Population,23685.98
473,2023,Bronx Community Board 11,Black Population,23745.697
474,2024,Bronx Community Board 11,Black Population,23805.562
475,2006,Bronx Community Board 11,Hispanic Population,45646.562
476,2007,Bronx Community Board 11,Hispanic Population,46184.824
477,2008,Bronx Community Board 11,Hispanic Population,46729.438
478,2009,Bronx Community Board 11,Hispanic Population,47280.47
479,2010,Bronx Community Board 11,Hispanic Population,47838.0
480,2011,Bronx Community Board 11,Hispanic Population,48402.105
481,2012,Bronx Community Board 11,Hispanic Population,48972.863
482,2013,Bronx Community Board 11,Hispanic Population,49550.35
483,2014,Bronx Community Board 11,Hispanic Population,50134.65
484,2015,Bronx Community Board 11,Hispanic Population,50725.836
485,2016,Bronx Community Board 11,Hispanic Population,51323.992
486,2017,Bronx Community Board 11,Hispanic Population,51929.207
487,2018,Bronx Community Board 11,Hispanic Population,52541.555
488,2019,Bronx Community Board 11,Hispanic Population,53161.125
489,2020,Bronx Community Board 11,Hispanic Population,53788.0
490,2021,Bronx Community Board 11,Hispanic Population,54422.27
491,2022,Bronx Community Board 11,Hispanic Population,55064.016
492,2023,Bronx Community Board 11,Hispanic Population,55713.33
493,2024,Bronx Community Board 11,Hispanic Population,56370.3
494,2006,Bronx Community Board 11,Household Population,106137.89
495,2007,Bronx Community Board 11,Household Population,106802.65
496,2008,Bronx Community Board 11,Household Population,107471.57
497,2009,Bronx Community Board 11,Household Population,108144.68
498,2010,Bronx Community Board 11,Household Population,108822.0
499,2011,Bronx Community Board 11,Household Population,109503.56
500,2012,Bronx Community Board 11,Household Population,110189.4
501,2013,Bronx Community Board 11,Household Population,110879.53
502,2014,Bronx Community Board 11,Household Population,111573.984
503,2015,Bronx Community Board 11,Household Population,112272.79
504,2016,Bronx Community Board 11,Household Population,112975.97
505,2017,Bronx Community Board 11,Household Population,113683.55
506,2018,Bronx Community Board 11,Household Population,114395.56
507,2019,Bronx Community Board 11,Household Population,115112.04
508,2020,Bronx Community Board 11,Household Population,115833.0
509,2021,Bronx Community Board 11,Household Population,116558.48
510,2022,Bronx Community Board 11,Household Population,117288.5
511,2023,Bronx Community Board 11,Household Population,118023.09
512,2024,Bronx Community Board 11,Household Population,118762.28
513,2006,Bronx Community Board 11,Housing Units,43230.434
514,2007,Bronx Community Board 11,Housing Units,43345.117
